http://university.url/?post_type=publications&p=12345,
http://www.researchdomainname.org,
https://dataverse.unc.edu/api/access/datafile/1234567,
https://easy.dans.knaw.nl/ui/datasets/id/datasetidcode,
https://github.com/authorname/datasetcode,
https://github.com/authorname/datasetcode,
https://github.com/design/topicname-AA,
https://github.com/surname/PROJECT_LABEL/tree/master/data,
https://neurovault.org/collections/ABCDEFGH/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://osf.io/a1b2c/,
https://researchdomainname.com/data-archive/,
https://researchdomainname.com/den/resources/supplementary-material/11-resources/supplementary-material/111,
https://sites.google.com/site/authorname/research-materials/journal_name-2015,
https://university.url/portal/en/datasets/dataset-title(long-apha-numeric-code-value).html,
https://university.url/supplements/topicname/,
https://www.university.url/handle/1234/123456,
https://zenodo.org/record/123456#.A1Ba2bCDcdE,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
supplementary data on journal website,
